name,current_status,jurisdiction_code,current_alternative_legal_name,incorporation_date,registered_address_street_address,registered_address_region
"FIVE STAR SAUNA, INC.",Inactive,us_fl,,2018-08-08,,
SOSAUNA TRANSPORT CORP,Inactive,us_fl,,2018-09-28,,
2018 BEYOND SAUNA INC,Active,us_fl,,2018-11-06,,
STEAMROOM & SAUNA SPECIALTY INC,Inactive,us_fl,,2020-05-26,,
ORANGE INFRARED SAUNA & SPA INC,Active,us_fl,,2021-04-27,,
"THE SAUNA APP, INC.",Inactive,us_fl,,2021-07-14,,
"LITTLE SAUNA HOUSE, INC.",Active,us_fl,,2022-06-08,,
"SOLACE SAUNAS OF FLORIDA, INC",Active,us_fl,,2022-08-09,,
"I M SHAMMAMI, INC.",Active,us_fl,,2023-04-03,,
"SOLITUDE SAUNA STUDIO, INC",Active,us_fl,,2023-05-01,,
SAKU SAUNA & MASSAGE SPA EAST COLONIAL INC.,Active,us_fl,,2023-06-28,,
"IT'S SAUNA BEACH, INC.",Active,us_fl,,2024-01-17,,
"SAUNA FUENTES DE VIDA, INC.",Inactive,us_fl,,1992-10-23,,
"MARK'S CABINETS AND SAUNA ROOMS, INC.",Inactive,us_fl,,1994-02-14,,
"SAUNA, INC.",Inactive,us_fl,,1995-01-12,,
"HOUSING MODIFICATIONS, SAUNAS PLUS, INC.",Inactive,us_fl,,1995-09-18,,
"FLORIDA SAUNA, INC.",Inactive,us_fl,,1997-08-22,,
"THE STEAM AND SAUNA CONNECTION, INC.",Inactive,us_fl,,1998-10-22,,
SAUNA SHOP COMPANY,Inactive,us_fl,,1998-11-24,,
AMERICAN SAUNA CORPORATION,Inactive,us_fl,,1999-04-15,,
"APOLLO GYM AND SAUNA CLUB, INC.",Inactive,us_fl,,1999-09-24,,
"SAUNA BUILDERS, INC.",Inactive,us_fl,,1991-02-07,,
"STEAM SAUNA, INC.",Active/Compliance,us_ga,,2000-04-10,"4290 Bells Ferry Road, Suite 106-574",GA
"OCEAN SAUNA, INC.",Admin. Dissolved,us_ga,,2001-03-30,7855 ROSWELL ROAD,GA
"SAUNA CARE CENTER, INC.",Admin. Dissolved,us_ga,,2002-10-04,243 TAYLORS FARM DR,GA
"HEAVENLY TAN SAUNA, INC.",Admin. Dissolved,us_ga,,2003-10-03,1829 CTON VR HWY,GA
"OCEAN SAUNA SPA, INC.",Admin. Dissolved,us_ga,,2005-01-18,7855 ROSWELL ROAD,GA
ASPEN SAUNAS LLC,Admin. Dissolved,us_ga,,2006-09-12,992 Coopers Creek Rd,GA
"JEJU SAUNA AND GYM, INC.",Active/Compliance,us_ga,,2006-10-03,3555 Gwinnett Place Drive,GA
"JASMINE SAUNA, INC.",Admin. Dissolved,us_ga,,2006-09-27,"2336 ATLANTA HWY, CUMMING, GA, 30040",
"VON'SAUNA SALON, LLC",Admin. Dissolved,us_ga,,2010-02-10,53 Cranston Dr W,GA
"BLUE MOON SAUNA, LLC",Admin. Dissolved,us_ga,,2010-04-23,"2895 PEACHTREE INDUSTRIAL BLVD, STE 101",GA
SOUTHLAND SAUNA AND WINE CELLARS L.L.C.,Admin. Dissolved,us_ga,,2010-09-15,1371 Low Water Way,GA
J SCRAPE SAUNA INC,Admin. Dissolved,us_ga,,2011-06-24,1869 E Main St,GA
"Ryno Sauna, LLC",Active/Compliance,us_ga,,2011-08-15,"1260 West Spring Street, 1260D",GA
GANGNAM STYLE SAUNA LLC,Admin. Dissolved,us_ga,,2012-10-18,"6021 New Peachtree Rd, Atlanta, GA, 30340",
GHANGNAM SAUNA LLC,Admin. Dissolved,us_ga,,2013-01-11,6005 BUFORD HWY,GA
RAINBOW SAUNA INC,Admin. Dissolved,us_ga,,2013-12-02,"5805  BUFORD  HWY, ste  13",GA
"Southeast Sauna Steam, LLC",Admin. Dissolved,us_ga,,2013-11-08,"1015 Union Hill Road, Suite 14, Alpharetta, GA, 30004",
Sauna Wellness Oasis LLC,Admin. Dissolved,us_ga,,2014-02-14,"11 South Grove Street, Suite 210, Dahlonega, GA, 30533",
INTERNATIONAL HEALTH SAUNA INC,Admin. Dissolved,us_ga,,2014-11-12,5979 BUFORD HWY STE C1,GA
"INTERNATIONAL NEW HEALTH SAUNA, INC.",Admin. Dissolved,us_ga,,2015-07-21,5979 Buford Hwy Ste C1,GA
"VonSauna Medical Group, LLC",Admin. Dissolved,us_ga,,2016-02-09,35 Cherry Tree Court,GA
"K Hot Stone Sauna, Inc",Active/Compliance,us_ga,,2016-12-12,103 Catoosa St,GA
AROMA SAUNA LLC,Admin. Dissolved,us_ga,,2017-01-16,308 W 8TH ST STE 103,GA
"Bitsauna, LLC",Admin. Dissolved,us_ga,,2017-09-09,PO Box 2901,GA
"Lumina Sauna Studio, LLC",Terminated,us_ga,,2019-06-26,"519 Memorial Dr SE Ste. D-06, Salon 204",GA
"Theranomics Massage and Sauna, LLC",Active/Compliance,us_ga,,2019-08-22,214 Jonesboro road,GA
"Rubies By Rosauna, LLC",Active/Compliance,us_ga,,2020-05-26,1109 Summerwind Drive,GA
Modern Home Sauna LLC,Admin. Dissolved,us_ga,,2020-06-16,3749 Lear Court,GA
EAST WEST SAUNA LLC,Active/Owes Current Year Ar,us_ga,,2020-09-18,5979 BUFORD HWY NE C2,GA
International sauna fitness center inc,Admin. Dissolved,us_ga,,2020-10-29,5805 BUFORD HWY 103,GA
"R. HOLIDAY SAUNA AND WELLBEING, LLC",Active/Compliance,us_ga,,2021-02-02,"5979 BUFORD HWY, B7",GA
BathHouseAccessories llc,Active/Compliance,us_ga,,2021-02-07,6375 Phillips creek Dr,GA
Burn Sauna Studios LLC,Admin. Dissolved,us_ga,,2021-04-15,3422 Pierce Road,GA
Fit Saunas LLC,Terminated,us_ga,,2021-04-28,1375 Peachtree St NE,GA
Precious Saunas LLC,Admin. Dissolved,us_ga,,2021-05-31,"780 Johnson Ferry Rd NE, Ste 130",GA
The Sauna Spa Room LLC,Admin. Dissolved,us_ga,,2021-07-16,"333 South Mock Road, apt 119",GA
"Drench Sauna Studio, LLC",Active/Compliance,us_ga,,2021-08-22,101 Timberlane Dr.,GA
BUDDHA'S BATHHOUSE LLC,Active/Compliance,us_ga,,2021-08-26,"6595 Roswell Road, Suite G 6426",GA
e-Sauna Depot LLC.,Active/Compliance,us_ga,,2022-01-17,"6825  Jimmy Carter Boulevard, Suite 1220-I",GA
"SAUNA WORKS, INC.",Active/Compliance,us_ga,,2022-01-28,1077 Eastshore HWY,CA
Herbal Steam Sauna Spa L.L.C,Active/Compliance,us_ga,,2022-02-01,2762 Atlanta Rd. SE. suite 200,GA
"Mountain Mobile Sauna, LLC",Admin. Dissolved,us_ga,,2022-05-16,421 Bradley Acres Road,GA
AROMA SAUNA THERAPY LLC,Active/Owes Current Year Ar,us_ga,,2022-07-15,308 W 8TH ST STE 103,GA
Thrive Sauna Studio LLC,Active/Compliance,us_ga,,2022-08-28,1440 Beecher St,GA
Deluxe Sauna And Hot Tub LLC,Active/Compliance,us_ga,,2023-02-03,608 Tom Smith Rd,GA
"Vihta Sauna House, LLC",Active/Compliance,us_ga,,2023-02-09,"4150 Washington Rd., Suite 6",GA
Hammami Gardens LLC,Active/Owes Current Year Ar,us_ga,,2023-03-16,1099 Alison Woods Court,GA
Saunasplus LLC,Active/Compliance,us_ga,,2023-03-29,5623 Laurel Ln  NW,GA
"Arlise IR Sauna, LLC",Active/Compliance,us_ga,,2023-11-07,"4900 Ivey Road, Bldg 800 Ste 800-C",GA
"Risto Saunas, LLC",Active/Compliance,us_ga,,2024-01-11,402 Direct Connection Drive,GA
"Marietta Town Center Sauna, Inc.",Active/Compliance,us_ga,,2024-01-22,"2469 Chastain Meadows Pkwy, Suite 10",GA
"ALOHA SAUNA, LLC",Active/Compliance,us_ga,,2024-02-12,4378 PIO NONO AVE,GA
Sauna Harbor LLC,Active/Compliance,us_ga,,2024-04-19,"8735 Dunwoody Pl, Suite 4109",GA
"CENTURY SAUNA, INCORPORATED",Admin. Dissolved,us_ga,,1973-04-19,109 WILSON ST,GA
"CUSTOM SAUNA INTERNATIONAL, INC.",Admin. Dissolved,us_ga,,1977-10-17,2179 NORTHLAKE PKWY STE 114,GA
"VIKING SAUNA OF GEORGIA, INC.",Admin. Dissolved,us_ga,,1979-07-23,836 ATLANTA ST,GA
"SPA N' SAUNA WORLD, INC.",Dissolved,us_ga,,1979-09-28,9500 RIVERCLUB PKWY,GA
"HOLIDAY SPA SAUNA, INC.",Admin. Dissolved,us_ga,,1981-04-17,6649 PEACHTREE INDUSTRIAL BLVD,GA
"RIVERSIDE SPA SAUNA, INC.",Admin. Dissolved,us_ga,,1984-04-05,332 SANDY SPRINGS CIR NE,GA
"INTERNATIONAL HEALTH SAUNA, INC.",Admin. Dissolved,us_ga,,1996-12-10,"4060 COVINGTON HWY, DECATUR, GA, 30032",
"MICKEY SAUNA, INC.",Admin. Dissolved,us_ga,,1999-11-08,5975 ROSWELL RD 117,GA
ZEN FOOT MASSAGE SAUNA LLC,Active,us_hi,,2018-02-21,,
MAKALOA SAUNA LLC,1,us_hi,,2019-01-22,,
BUTTERFLY SAUNA INC.,Dissolved,us_hi,,2008-12-11,,
OASIS SAUNA CORPORATION,Inv. Dissolved,us_hi,,2010-02-19,,
"RAINBOW SAUNA, INC.",Dissolved,us_hi,,2011-09-17,,
DONNA'S SAUNA LLC,Adm. Terminated,us_hi,,2003-10-19,,
SUN SAUNA LLC,Active,us_hi,,2022-02-04,,
CURE KAUAI SAUNA LLC,Active,us_hi,,2022-07-01,,
SOLSTICE SAUNAS LLC,Active,us_hi,,2023-11-07,,
AM-FINN SAUNA COMPANY INC.,Active,us_hi,,2012-10-03,,
"ALOHA SAUNA & SPA, LLC",Active,us_hi,,2007-08-27,,
"KONA SAUNA, INC.",Inv. Dissolved,us_hi,,1995-05-18,,
"BEGE'S TUBS & SAUNAS, INC.",Inactive,us_ia,,1991-02-10,,
"LADY'S RHYTHMIC AEROBICS, SAUNA & EXERCISE CENTER, INC.",Inactive,us_ia,,1981-08-19,,
5 STAR STEAM ROOMS L.L.C.,Active,us_ia,,2004-04-29,"29 CENTRAL AVE SW, LEMARS, IA, 51031, USA",
IOWA SAUNA CO. LLC,Active,us_ia,,2023-10-10,,
SERENE STEAM SAUNA LLC,Active,us_ia,,2024-04-29,,
"LACLEDE POOL AND SAUNA ENTERPRISES, INC., A NON-PROFIT CORPORATION",Inactive Forfeited,us_id,,1971-02-17,,
RAYS OF LIFE SAUNA COMPANY LLC,Inactive Dissolved,us_id,,2012-01-05,"3625 HILLCREST\nBOISE, ID 83705",
ESSENTIAL SAUNA WOOD OIL LLC,Inactive Dissolved,us_id,,2013-04-02,"322 ARROYO MADRONE CT\nLINCOLN, CA 95648",
"SAUNA WAREHOUSE, LLC",Inactive Withdrawn,us_id,,2013-04-10,"6409 LAKE BURDEN VIEW DRIVE\nWINDERMERE, FL 34786",
"FINNISH SAUNA'S OF IDAHO, LLC",Inactive Dissolved (Administrative),us_id,,2016-08-23,"PO BOX 2343\nMCCALL, ID 83638",
AM-FINN SAUNA COMPANY INC.,Inactive Revoked (Administrative),us_id,,2007-10-23,"372 SOUTH EAGLE RD SUITE 341\nEAGLE, ID 83616",
AM-FINN SAUNA COMPANY INC.,Active Good Standing,us_id,,2018-02-01,"24823 N. CAN-ADA RD.\nSTAR, ID 83669",
GLO-POD SAUNA LLC,Inactive Dissolved (Administrative),us_id,,2020-09-30,"95 PIONEER VIEW DRIVE\nHAILEY, ID 83333",
SaunaVaBeach Inc,Active Good Standing,us_id,,2020-10-28,,
saunainstall.com,Active Current,us_id,,2020-12-29,"SAMUEL ROGERS\n7568 N DAVENPORT ST\nDALTON GARDENS, ID 83815",
Teemu's Finnish Saunas LLC,Inactive Dissolved (Administrative),us_id,,2021-06-10,"19018 HIGHWAY 30\nBUHL, ID 83316",
"Hot Rokk Sauna, LLC",Active Existing,us_id,,2021-08-31,"6968 W FREEMONT STREET\nBOISE, ID 83704",
"Sauna Works, Inc.",Active Good Standing,us_id,,2022-01-28,"1077 EASTSHORE HWY\nBERKELEY, CA 94710",
Idaho Sauna Co LLC,Inactive Dissolved (Administrative),us_id,,2022-10-21,"IDAHO SAUNA CO\n1910 E LAKESIDE\nCOEUR D' ALENE, ID 83814",
Sami Saunas LLC,Active Existing,us_id,,2023-01-10,"1012 4TH ST NORTH\nNAMPA, ID 83687",
NorthWest Custom Sauna LLC,Active Existing,us_id,,2023-03-23,"STE B\n784 S. CLEARWATER LOOP\nPOST FALLS, ID 83854",
Luxurywood Saunas LLC,Active Existing,us_id,,2023-04-03,"608 E ELGIN ST\nCALDWELL, ID 83605",
Studio Lotus Sauna LLC,Active Existing,us_id,,2023-05-21,"DAVIS HILL\n2609 W MADISON AVE\nBOISE, ID 83702",
Roaming Sauna LLC,Active Existing,us_id,,2023-08-15,"ROAMING SAUNA\n277 MARIANNE DR\nREXBURG, ID 83440",
SISU Sauna and Cold Plunge LLC,Active Existing,us_id,,2023-11-27,"28627 EMMETT RD\nCALDWELL, ID 83607",
Idaho Mobile Sauna LLC,Active Existing,us_id,,2024-01-10,"2717 W. AGATE ST.\nBOISE, ID 83705",
"Western Sauna Supply, L.L.C.",Active Existing,us_id,,2024-02-26,"213 E HARRISON AVE\nCOEUR D ALENE, ID 83814-3240",
Living Life Sauna Co. LLC,Active Existing,us_id,,2024-03-28,"TRENT GRANDSTAFF\nSTE 202\n1022 N 4TH ST\nCOEUR D'ALENE, ID 83814",
Idaho Sauna Pros LLC,Active Existing,us_id,,2024-03-29,"13236 GREENWELL LANE\nCALDWELL, ID 83607",
"NORTH SHORE SAUNAS & SPAS, INC.",Dissolved,us_il,,1984-10-25,,
"TYLO SAUNA, INC.",Dissolved,us_il,,1985-07-01,,
"IMPERIAL TOWER SAUNA, INC.",Dissolved,us_il,,1985-08-23,,
"THE BODY SHOPPE TANNING & SAUNA SPA, INC.",Dissolved,us_il,,1986-05-06,,
KLAFS-SAUNA CORPORATION,Withdrawn,us_il,,1986-12-10,,
AMSTAR SAUNA CORPORATION,Dissolved,us_il,,1988-11-10,,
"SCANDIA SAUNAS, INC.",Dissolved,us_il,,1997-09-25,,
"MIDWEST SAUNA CLUB, INC.",Dissolved,us_il,,2000-08-30,,
AMERICA'S STEAM SAUNA PROFESSIONALS INC.,Dissolved,us_il,,2002-08-22,,
"PARADISE SAUNA HEALTH CLUB, INC.",Dissolved,us_il,,2006-05-05,,
AMERICAN STEAM SAUNA & SPA INCORPORATED,Dissolved,us_il,,2007-03-08,,
"JUST SAUNAS AND STEAM, INC.",Dissolved,us_il,,2007-05-18,,
"CITY MASSAGE & SAUNA CENTER, INC.",Dissolved,us_il,,2007-08-16,,
"SIZZLIN SAUNAS, INC.",Dissolved,us_il,,2008-06-09,,
"WALNUT STREET WINERY PLUS SAUNAS, INC.",Dissolved,us_il,,2008-12-02,,
"SAUNAS TODAY, INC.",Dissolved,us_il,,2010-06-30,,
IMPERIAL SAUNA & SPA CLUB INC.,Goodstanding,us_il,,2010-11-08,,
"MARITESS SAUNAR, P.C.",Dissolved,us_il,,2013-01-18,,
"HONEY BEAUTY & SAUNA, CO.",Dissolved,us_il,,2013-01-10,,
"PARADISE SAUNA, INC.",Dissolved,us_il,,2013-03-20,,
"SAUNA WORKS, INC.",Goodstanding,us_il,,2022-03-04,,
3 SAUNA INC.,Goodstanding,us_il,,2023-08-23,,
"STEAM SAUNA OF AMERICA, LLC",Voluntary Diss./Terminated,us_il,,2002-04-05,1438 N HARRISON ST,IL
SEOUL SAUNA LLC,Involuntary Dissolution,us_il,,2007-02-09,266 LATROBE AVE,IL
KING SPA SAUNA LLC,Voluntary Diss./Terminated,us_il,,2007-10-30,808 CIVIC CENTER,IL
"CHICAGO BATHHOUSE, LLC",Involuntary Dissolution,us_il,,2008-05-15,"420 W. BELMONT, SUITE 25E",IL
"SAUNACO, LLC",Goodstanding,us_il,,2012-04-17,538 RAVINE AVENUE,IL
"SVT MOBILE PREMIUM AUTO SAUNA, LLC",Involuntary Dissolution,us_il,,2013-07-25,16525 W 159TH ST. SUITE 114,IL
BATHHOUSE LUXURY IMPORTS LLC,Involuntary Dissolution,us_il,,2014-05-13,505 N. LAKE SHORE DRIVE #204,IL
NORTH AVENUE BATHHOUSE LLC,Involuntary Dissolution,us_il,,2017-03-01,2747 N. LINCOLN,IL
"AMERICA STEAM, SAUNA & SPAS LLC",Involuntary Dissolution,us_il,,2018-05-18,2831 W RASCHER AVE,IL
CHICAGO CRYOSAUNA LLC,Involuntary Dissolution,us_il,,2018-10-12,1820 W IRVING PARK ROAD,IL
YONI SAUNA LLC,Involuntary Dissolution,us_il,,2019-04-03,4277 188TH PL.,IL
BATHHOUSE LLC,Goodstanding,us_il,,2019-05-10,1854 W. 21ST ST.,IL
THE OUTBACK SAUNA LLC,Involuntary Dissolution,us_il,,2020-06-29,14411 S. SILVER LN.,IL
"CITY SAUNA, LLC",Ngs,us_il,,2021-05-10,2113 N. SAWYER AVE. APT 2,IL
STEAM-Y AND SAUNA SERVICES LLC,Involuntary Dissolution,us_il,,2021-03-31,67 E MADISON ST STE 1603A 1959,IL
SOUL BANYA LLC,Goodstanding,us_il,,2022-03-22,1285 SILK OAK LN,IL
SAUNAS PEACH LLC,Ngs,us_il,,2022-04-14,9336 S KENWOOD AVE,IL
SAUNA CLUB LLC,Ngs,us_il,,2022-04-26,1629 FLORENCE AVE.,IL
STEAMIN WHEELS MOBILE SAUNA LLC,Goodstanding,us_il,,2023-01-25,422 N WASHINGTON AVE,IL
"MELT, INFARED SAUNA STUDIO, LLC",Ngs,us_il,,2023-02-28,1305 MOUND AVE,IL
VIKING BARREL SAUNAS LLC,Goodstanding,us_il,,2023-03-03,5N718 MYLES ROAD,IL
SAUNA GUARD LLC,Goodstanding,us_il,,2023-03-30,9426 CORSAIR RD,IL
"THE SAUNA COLLECTIVE, LLC",Ngs,us_il,,2023-04-05,2120 N CLARK ST APT 2,IL
SISU ENDURANCE SAUNA LLC,Goodstanding,us_il,,2023-04-19,12 GREENBRIAR RD,IL
REVIVE INFRARED DETOX SAUNA LLC,Goodstanding,us_il,,2023-09-29,4801 OTTAWA RD,IL
CHICAGO INFRARED SAUNAS LLC,Goodstanding,us_il,,2023-12-21,6921 N GREENVIEW AVE APT 2,IL
"SUOMI SAUNA SPA, LLC",Goodstanding,us_il,,2024-04-25,57 SELDEN ST,IL
"SOOTHE STUDIOS FLOAT SPA & SAUNA, LLC",Goodstanding,us_il,,2024-05-08,"312 N. KELLER DRIVE, SUITE C",IL
RELAX-A-SAUNA DISTRIBUTORS OF INDIANA,Revoked,us_in,,1965-08-10,,
AMERICAN SAUNA CORPORATION,Revoked,us_in,,1966-04-29,,
DEL SAUNA SHOPPE INC,Revoked,us_in,,1970-12-31,,
SOLAR SAUNA INC,Revoked,us_in,,1972-01-14,,
VIKING SAUNA OF INDIANA INC,Admin Dissolved,us_in,,1972-04-11,,
RAY MAR SAUNA HUT INC,Revoked,us_in,,1972-05-23,,
TOIVANEN SAUNAS INC,Admin Dissolved,us_in,,1973-04-16,"PO BOX 12, HARTFORD CITY, IN 47348",
GOLDEN DAWN MASSAGE & SAUNA CENTER INC,Admin Dissolved,us_in,,1975-09-25,"3707 N SHADELAND AVE SUITE B 2, INDIANAPOLIS, IN 46226",
"CUSTOM SAUNA, INC.",Admin Dissolved,us_in,,1991-10-28,", IN",
"NORTHWEST(ERN) SPA & SAUNA WORLD, INC.",Admin Dissolved,us_in,,1996-07-25,"5008 W. 96TH STREET, INDIANAPOLIS, IN 46268",
SPA & SAUNA WORLD LLC,Active,us_in,,2009-08-18,"3325 N. State Road 52, Lebanon, IN 46052",
APEX WINE CELLARS AND SAUNAS LLC,Admin Dissolved,us_in,,2010-05-14,"8205 Northcote Ave, Munster, IN 46321",
"SAUNA V, LLC",Active,us_in,,2018-10-08,,
SAUNA NATURAL SAN MIGUEL LLC,Active,us_in,,2020-07-17,,
"INFRARED SAUNA OF INDIANA, INC.",Active,us_in,,2021-05-21,,
SAUNA SOCIAL LLC,Active,us_in,,2021-05-31,,
SAUNA LODGE INCORPORATED,Active,us_in,,2022-09-04,,
MY SAUNA WORLD LLC,Active,us_in,,2022-10-25,,
"IN MOTION MOBILE SAUNA, LLC",Active,us_in,,2022-11-18,,
AMERICAN SAUNA LLC,Active,us_in,,2023-10-19,,
STEAM MOBILE SAUNA LLC,Active,us_in,,2023-12-21,,
"VIKING SAUNA OF WICHITA, INC.",Dissolved,us_ks,,1980-05-02,"C/O WILLIAM J. ROTHROCK - 338 IDA, WICHITA, KS 67202",
"SAUNA TONE, INC.",Forfeited   Failed To Timely File A/R,us_ks,,1986-02-27,"C/O LAWRENCE R. BRUCHETT - 11604 REEDER, OVERLAND PARK, KS 66210",
"SAUNA SUPREME, INC.",Dissolved,us_ks,,1992-03-04,"10136 198TH RD, MAYETTA, KS 665099802",
"SUNDANCE SPAS & SAUNAS, LLC",Dissolved,us_ks,,2006-01-27,"350 S Grant Ave, COLBY, KS 67701",
"JESS ANN INFRARED SAUNA & WELLNESS INSTITUTE, LLC",Dissolved,us_ks,,2011-07-07,"Jessica May - PO Box 21409, WICHITA, KS 67208",
ALL THINGS NEW SAUNA WORKS LLC,Dissolved,us_ks,,2018-04-23,"421 E 10th Street, NEWTON, KS 67114",
BATHHOUSE TRADING COMPANY LLC,Active And In Good Standing,us_ks,,2021-08-06,"752 E 47 HWY, FRANKLIN, KS 66735",
Sauna and Plunge KC LLC,Active And In Good Standing,us_ks,,2024-04-12,,
"VIKING SAUNA OF KENTUCKY, INC.",Inactive,us_ky,,1966-05-20,,
"MIDSTATES VIKING SAUNA, INC.",Inactive,us_ky,,,,
"HARTMAN, SAUNA & SPA, INC.",Inactive,us_ky,,1977-09-01,,
"SAUNA HOOD, INC.",Inactive,us_ky,,1979-06-20,,
"THE SAUNA BOYS, LLC",Active,us_ky,,2003-08-08,,
"ORIENTAL GARDEN SAUNA, LLC",Inactive,us_ky,,2006-08-15,,
"ROYAL SAUNA, INC.",Active,us_ky,,2008-11-07,,
CYCLEYOU FITNESS & SAUNA LEXINGTON LLC,Active,us_ky,,2009-10-21,,
"AM-FINN SAUNA COMPANY, INC.",Active,us_ky,,,,
TwoBs Saunas LLC,Active,us_ky,,2020-01-31,,
"Revive Sauna Studio, LLC",Active,us_ky,,2020-10-09,,
Saunas Therapy Detox And Recovery Corporation,Active,us_ky,,2022-11-22,,
"Hopkinsville Sauna Club, LLC",Active,us_ky,,2024-04-10,,
"SAUNA INTERNATIONAL, INC.",Inactive   Voluntary Action,us_la,,1975-09-08,"3716 FRAN ST., METAIRIE, LA 70001",
"FUJI SAUNA, INC.",Inactive   Action By Secretary Of State,us_la,,1984-08-03,"3012 N. ARNAULT RD., ROOM 204A, METAIRIE, LA 70002",
AM-FINN SAUNA COMPANY INC.,Active (Voluntary Withdrawal Pending),us_la,,2016-02-09,"201 RUE BEAUREGARD, STE. 202",LA
"BATHHOUSE SOAP, INC.",Active (Voluntary Withdrawal Pending),us_la,,2017-04-05,506 FRONT STREET,LA
FOREVER YOUNG I-SPA & SAUNA LLC,Inactive   Action By Secretary Of State,us_la,,2017-11-07,,
"MEGHAN'S BATHHOUSE & DOG SPA, LLC",Active   Not In Good Standing For Failure To File Annual Report,us_la,,2018-11-07,,
BABYS BATHHOUSE LLC,Active   Not In Good Standing,us_la,,2021-01-21,,
LUXE & LEISURE SAUNAS LLC,Active   In Good Standing,us_la,,2021-09-30,,
MELT SAUNA RIVER RIDGE LLC,Active   In Good Standing,us_la,,2023-03-22,,
SOUTHERN HEAT SAUNAS LLC,Active   In Good Standing,us_la,,2023-05-25,,
"SAUNA RESEARCH FOUNDATION, INC.",Inactive,us_ma,,1967-09-19,"C/O JOHN P. MERHILL, 55 CORING RD.",MA
"ROMAN SAUNA, INC.",Inactive,us_ma,,1976-09-02,"OFFICE E, 100 MAIN ST.",MA
"AMERICAN SAUNA SENTER, INC.",Inactive,us_ma,,1975-01-01,12 HARVARD AV,MA
"MASAUNA INTERNATIONAL, INC.",Inactive,us_ma,,1972-04-19,420 WASHINGTON S,MA
"RICHARDS SAUNA INTERNATIONAL, INC.",Inactive,us_ma,,1975-03-24,126 MAIN ST,MA
"SWEDISH SAUNA OF SPRINGFIELD, INC.",Inactive,us_ma,,1973-07-30,145 STATE ST,MA
"X-L SAUNA & MASSAGE, INC.",Inactive,us_ma,,1975-08-06,427 COLUMBIA RD,MA
"WESTWOOD HEALTH AND SAUNA CLUB,INC.",Inactive,us_ma,,1976-11-01,35 PERWAL ST.,MA
"BOSTON HOT TUB & SAUNA, INC.",Inactive,us_ma,,1978-06-01,185 WORCESTER ROAD,MA
"METRO TUB & SAUNA, INC.",Inactive,us_ma,,1979-10-24,185 WORCESTER RD.,MA
"ROYAL SAUNA II,INC.",Inactive,us_ma,,1980-05-14,11 NAPLES ROAD,MA
"SAUNATEK, INC.",Inactive,us_ma,,1980-12-11,297 FRANKLIN STREET,MA
"PLEASANT SAUNA, INC.",Inactive,us_ma,,1984-06-21,PURCHASE ST.,MA
GIBSAUNA LLC,Active,us_ma,,2017-03-24,95 WESTFIELD DR.,MA
GIBSAUNA GROUP INC.,Active,us_ma,,2017-08-03,95 WESTFIELD DRIVE,MA
FINN COUNTRY SAUNA SALES LLC,Inactive,us_ma,,2018-01-23,34 THAYER ROAD,NH
SAUNALAND LLC,Inactive,us_ma,,2020-02-27,56 HOOPER ST UNIT 3R,MA
"SAUNA ROW LEGACY, LLC",Active,us_ma,,2020-10-01,29 MILLWOOD DR.,DE
FINN COUNTRY SAUNA SALES LLC,Active,us_ma,,2022-02-14,34 THAYER RD.,NH
SALTWATER SOUL SAUNA LLC,Active,us_ma,,2023-01-09,167 WASHINGTON AVENUE,MA
"EPIC SAUNA, LLC",Active,us_ma,,2023-06-05,82 WENDELL AVE.  STE 100,MA
CITYSAUNA LLC,Active,us_ma,,2023-10-11,,
GOT SAUNA LLC,Active,us_ma,,2023-11-03,,
SPAWAGON SAUNA LLC,Active,us_ma,,2023-12-14,,
"TRANQUIL TIDES - HOT SAUNA, COLD PLUNGE LLC",Active,us_ma,,2024-03-19,,
ULTIMATE SAUNA INC,Active,us_ma,,2024-03-21,1 SOUTH END BRIDGE,MA
GREEN STEAM HERBAL SAUNA LLC,Active,us_ma,,2024-05-10,,
"SAUNA-TIME, INC.",Inactive,us_ma,,1974-01-21,BOX 563 RFD 2,NH
"SAUNA SALES COMPANY, INC.",Inactive,us_ma,,1967-03-15,143 WASHINGTON ST,MA
"SKANDIA SAUNA SENTER, INC.",Inactive,us_ma,,1969-09-09,175 BEDFORD ST,MA
"FINNLANDER SAUNA HOUSE, INC.",Inactive,us_ma,,1970-12-01,203B PLAIN ST,MA
"ROMAN SAUNA CENTER, INC.",Inactive,us_ma,,1972-01-24,30 BROADWAY,MA
"MASAUNA, INC.",Inactive,us_ma,,1970-07-15,1616 SOLDIERS FL RD,MA
"SWEDISH SAUNA, INC.",Inactive,us_ma,,1972-07-18,26 PRINCESS PLZ,MA
MASAUNA INC OF LYNNFIELD,Inactive,us_ma,,1972-10-20,379 BROADWAY,MA
"DANISH SAUNA, INC.",Inactive,us_ma,,1973-10-23,627 LOWELL ST,MA
"ROYAL SAUNA, INC.",Inactive,us_ma,,1974-03-06,11 NAPLES RD,MA
"SAUNAU, INC.",Inactive,us_ma,,2008-12-05,"10 KING PLACE, APT. 1",MA
"BOSTON HOT TUB AND SAUNA, INC.",Active,us_ma,,2004-04-07,23 EVANS RD.,MA
BAYSTATE SAUNA COMPANY,Inactive,us_ma,,2008-03-22,6 HEATON PLACE,MA
"SAUNA-CRAFT SALES COMPANY, INC",Forfeited,us_md,,1967-08-30,"RICHARD DISTEFANO, 12 GUNPOWDER ROAD",MD
